url,title,titleLen,desc,descLen,h1Count,canonical,schemas,ogTitle,ogDesc,ogImage,hubLinks,words,imgsNoAlt,issues,issueCount
https://sol.vn/2025/09/09/nguoi-lao-dong-viet-nam-can-chuan-bi-gi-de-vuon-minh-trong-ky-nguyen-moi/,Kỷ nguyên mới người lao động cần có gì? - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,102,"Nâng cao trình độ chuyên môn và kỹ năng mềm, làm chủ công nghệ và tiếng Anh, và xây dựng tư duy đổi mới cùng tinh thần khởi nghiệp.",131,2,https://sol.vn/2025/09/09/nguoi-lao-dong-viet-nam-can-chuan-bi-gi-de-vuon-minh-trong-ky-nguyen-moi/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1627,0,TITLE_LONG;MULTIPLE_H1,2
https://sol.vn/2026/04/28/cai-cach-hanh-chinh-loi-song-lo-trinh-72-gio-de-so-hoa-suc-khoe-gioi-thieu-bothuocla-sol-vn/,Cải Cách Hành Chính Lối Sống: Lộ Trình 72 Giờ Để &quot;Số Hóa&quot; Sức Khỏe &amp; Giới Thiệu bothuocla.sol.vn - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,173,Cải Cách Hành Chính Lối Sống: Lộ Trình 72 Giờ Để &quot;Số Hóa&quot; Sức Khỏe &amp; Giới Thiệu bothuocla.sol.vn,110,1,https://sol.vn/2026/04/28/cai-cach-hanh-chinh-loi-song-lo-trinh-72-gio-de-so-hoa-suc-khoe-gioi-thieu-bothuocla-sol-vn/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la|bothuocla.sol.vn,1296,0,TITLE_LONG;DESC_SHORT,2
https://sol.vn/2026/04/28/rebranding-ban-than-go-bo-ban-lau-dopamine-cai-dat-lai-he-dieu-hanh-sol-tai-bothuocla-sol-vn/,Rebranding Bản Thân: Gỡ Bỏ &quot;Bản Lậu&quot; Dopamine - Cài Đặt Lại Hệ Điều Hành Sol Tại bothuocla.sol.vn - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,170,Rebranding Bản Thân: Gỡ Bỏ &quot;Bản Lậu&quot; Dopamine - Cài Đặt Lại Hệ Điều Hành Sol Tại bothuocla.sol.vn,107,1,https://sol.vn/2026/04/28/rebranding-ban-than-go-bo-ban-lau-dopamine-cai-dat-lai-he-dieu-hanh-sol-tai-bothuocla-sol-vn/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la|bothuocla.sol.vn,1271,0,TITLE_LONG;DESC_SHORT,2
https://sol.vn/2026/04/29/tai-sinh-toan-dien-tuoi-trung-nien-nghien-cuu-he-thong-ve-su-thay-doi-than-tam-tri-trong-boi-canh-hien-dai/,TÁI SINH TOÀN DIỆN TUỔI TRUNG NIÊN: NGHIÊN CỨU HỆ THỐNG VỀ SỰ THAY ĐỔI THÂN TÂM TRÍ TRONG BỐI CẢNH HIỆN ĐẠI - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,170,"Giai đoạn trung niên, thường được định nghĩa trong khoảng từ 40 đến 60 tuổi, không đơn thuần là một mốc thời gian sinh học mà là một tiến trình chuyển đổi đa",157,1,https://sol.vn/2026/04/29/tai-sinh-toan-dien-tuoi-trung-nien-nghien-cuu-he-thong-ve-su-thay-doi-than-tam-tri-trong-boi-canh-hien-dai/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,4789,0,TITLE_LONG,1
https://sol.vn/2025/06/24/ky-nang-cu-thu-nhap-moi-trung-nien/,Tận Dụng Kỹ Năng &quot;Cũ&quot; Để Tạo Ra Thu Nhập &quot;Mới&quot;: Lối Đi Phù Hợp Với Người Trung Niên - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,166,"Sau tuổi 45, bạn vẫn có thể tạo nguồn thu nhập bền vững từ kỹ năng cũ của mình. Bài viết gợi ý nghề phù hợp với người trung niên: tư vấn, coaching, sáng tạo nội dung và kinh doanh ngách.",186,1,https://sol.vn/2025/06/24/ky-nang-cu-thu-nhap-moi-trung-nien/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1740,0,TITLE_LONG;DESC_LONG,2
https://sol.vn/2025/06/24/lam-freelancer-tai-khoi-nghiep-trung-nien/,Làm Tự do (Freelancer) : Lựa Chọn Linh Hoạt Để Tái Khởi Nghiệp Ở Tuổi Trung Niên - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,143,"Sau tuổi 45, làm freelancer là lựa chọn linh hoạt để tái khởi nghiệp, kiểm soát thời gian và sống đúng giá trị. Hướng dẫn từng bước cho người trung niên bắt đầu làm việc tự do",175,1,https://sol.vn/2025/06/24/lam-freelancer-tai-khoi-nghiep-trung-nien/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1656,0,TITLE_LONG;DESC_LONG,2
https://sol.vn/2025/06/25/khoi-nghiep-tinh-gon-kinh-doanh-tai-nha-it-von/,Hành Trình Kinh Doanh Tại Nhà Với Vốn Ít - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,103,"Khởi nghiệp tinh gọn giúp bạn kinh doanh tại nhà với vốn ít – bằng cách bắt đầu nhỏ, học hỏi nhanh, và thích nghi linh hoạt. Sol chia sẻ hướng đi thực tế cho từng độ tuổi và hoàn cảnh.",184,1,https://sol.vn/2025/06/25/khoi-nghiep-tinh-gon-kinh-doanh-tai-nha-it-von/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1669,0,TITLE_LONG;DESC_LONG,2
https://sol.vn/2025/06/12/vuot-qua-noi-so-that-bai-lan-nua/,Vượt Qua Nỗi Sợ Thất Bại Lần Nữa: Làm Sao Để Tự Tin Bắt Đầu Lại? - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,127,"Bạn từng thất bại và giờ sợ tái diễn? Bài viết này chia sẻ 5 cách để thấu hiểu nỗi sợ, chuyển hóa góc nhìn, hành động từng bước nhỏ và tìm lại sự tự tin – theo phong cách Sol: chữa lành từ gốc, khởi động lại bằng sự tỉnh táo và lòng tin vào chính mình.",252,1,https://sol.vn/2025/06/12/vuot-qua-noi-so-that-bai-lan-nua/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1669,0,TITLE_LONG;DESC_LONG,2
https://sol.vn/2025/06/11/tai-tao-nang-luong-sang-mai/,🌅 Tái Tạo Năng Lượng - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,84,"Ở tuổi trung niên, sau khủng hoảng, tôi từng mất cả năng lượng sống lẫn động lực thức dậy mỗi sáng. Nhưng rồi tôi học cách tái tạo lại chính mình – không bằng mục tiêu lớn lao, mà từ những thói quen nhỏ: thở sâu, viết vài dòng, uống nước ấm, ngồi yên, và sống thật với một ngày mới. Những điều tưởng như bình thường... lại giúp tôi sống lại.",341,1,https://sol.vn/2025/06/11/tai-tao-nang-luong-sang-mai/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1510,0,TITLE_LONG;DESC_LONG,2
https://sol.vn/2025/06/11/tha-thu-cho-ban-than/,🕊 Chấp Nhận và Buông Bỏ - Đi Cùng Sol để tái sinh — Khang Sol đồng hành người Việt 45+,87,"Sau hơn 20 năm làm doanh chủ, tôi hiểu rằng có những giai đoạn không thể kiểm soát – và đổ vỡ là điều phải chấp nhận. Bài viết này là hành trình tôi học cách buông bỏ sự tự trách, tha thứ cho bản thân, và tiếp tục sống – không phải vì quên đi sai lầm, mà để giữ sức cho những điều còn quan trọng: gia đình, trách nhiệm, và chính mình.",334,1,https://sol.vn/2025/06/11/tha-thu-cho-ban-than/,Person|Organization|WebSite|ImageObject|WebPage|BlogPosting,true,true,true,/bo-thuoc-la,1589,0,TITLE_LONG;DESC_LONG,2
